source_study,target_study,text1,text2,class_label,cosine,rank,mrr,candidate_pool_size,r@1,r@3,r@5,r@10
aachen-hf,aric,History of atrial fibrillation,Atrial fibrillation,identical match,0.68595,1,1.0,26,True,True,True,True
aachen-hf,aric,age at visit,AGE AT VISIT 1 (baseline),identical match,0.76099,1,1.0,26,True,True,True,True
aachen-hf,aric,History of stroke,Stroke status,partial match,0.70585,2,0.5,26,False,True,True,True
aachen-hf,aric,History of stroke,Transient ischemic attack status,partial match,0.52243,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,body mass index,Body mass index (kg/m2),identical match,0.88261,1,1.0,26,True,True,True,True
aachen-hf,aric,History of peripheral artery disease,Intermittent claudication: symptom of peripheral artery disease,partial match,0.4767,2,0.5,26,False,True,True,True
aachen-hf,aric,creatinine,Creatinine (mg/dL),compatible match,0.78604,1,1.0,26,True,True,True,True
aachen-hf,aric,Smoking status,CURRENT CIGARETTE SMOKER,partial match,0.75473,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES with fasting glucose,identical match,0.62763,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES using 126 mg/dL CGM Reading,identical match,0.43191,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,History of diabetes,Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher,identical match,0.42311,4,0.25,26,False,False,True,True
aachen-hf,aric,HDL-cholesterol,RE-CALIBRATED HDL CHOL. in mg/dl,compatible match,0.51912,4,0.25,26,False,False,True,True
aachen-hf,aric,HDL-cholesterol,HDL cholesterol,compatible match,0.98615,1,1.0,26,True,True,True,True
aachen-hf,aric,HDL-cholesterol,HDLC-Cholesterol (mg/dL),compatible match,0.72967,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (to the nearest cm),identical match,0.68971,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (cm),identical match,0.69848,1,1.0,26,True,True,True,True
aachen-hf,aric,History of myocardial infarction,HISTORY OF MYOCARDIAL INFARCTION,identical match,1.0,1,1.0,26,True,True,True,True
aachen-hf,aric,LDL-cholesterol,RE-CALIBRATED LDL CHOL. in mg/dl,compatible match,0.53668,5,0.2,26,False,False,True,True
aachen-hf,aric,LDL-cholesterol,Re-Calibrated LDL Cholesterol in mg/dL,compatible match,0.56166,4,0.25,26,False,False,True,True
aachen-hf,aric,LDL-cholesterol,LDLCC-Cholesterol calculated (mg/dL),compatible match,0.74448,1,1.0,26,True,True,True,True
aachen-hf,aric,sex,"Participant gender(0=Female, 1=Male)",compatible match,0.60576,1,1.0,26,True,True,True,True
aachen-hf,aric,Systolic Blood pressure (sbp) at baseline recumbent position,systolic blood pressure,identical match,0.59606,1,1.0,26,True,True,True,True
aachen-hf,aric,weight,WEIGHT TO THE NEAREST in LB,compatible match,0.8455,2,0.5,26,False,True,True,True
aachen-hf,aric,weight,WEIGHT TO NEAREST in LB,compatible match,0.83658,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,weight,WEIGHT TO NEAREST in lb,compatible match,0.83658,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,weight,Weight (kg),identical match,0.89282,1,1.0,26,True,True,True,True
adni,nacc,first allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,identical match,0.67747,1,1.0,196,True,True,True,True
adni,nacc,second allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,identical match,0.70514,1,1.0,196,True,True,True,True
adni,nacc,Participant ID,Subject ID number,identical match,0.78348,1,1.0,196,True,True,True,True
adni,nacc,A-beta 1-42 in CSF,Cerebrospinal fluid amyloid-beta 42 (CSF ABETA),identical match,0.81627,1,1.0,196,True,True,True,True
adni,nacc,Visit code,UDS visit number (order),identical match,0.67123,1,1.0,196,True,True,True,True
adni,nacc,Age,Age,identical match,1.0,1,1.0,196,True,True,True,True
adni,nacc,Participant Gender ( 1=Male;2=Female),Subject 's sex,identical match,0.67641,1,1.0,196,True,True,True,True
adni,nacc,Education,Years of education,identical match,0.68577,1,1.0,196,True,True,True,True
adni,nacc,Race (1=American Indian or Alaskan Native; 2=Asian; 3=Native Hawaiian or Other Pacific Islander; 4=Black or African American; 5=White; 6=More than one race; 7=Unknown),Race,identical match,0.66747,1,1.0,196,True,True,True,True
adni,nacc,Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown),Marital status,identical match,0.84907,1,1.0,196,True,True,True,True
adni,nacc,"Average FDG-PET (F-Fluorodeoxyglucose (FDG) PET) of angular, temporal, and posterior cingulate",FDG-PET pattern of AD,identical match,0.67805,1,1.0,196,True,True,True,True
adni,nacc,Reference region - florbetapir mean of whole cerebellum. Regions defined by Freesurfer; see Jagust lab PDF on LONI for details,Abnormally elevated amyloid on PET,identical match,0.27643,130,0.007692307692307693,196,False,False,False,False
adni,nacc,Clinical Dementia Rating (CDR) Sum of Boxes.,CDR® sum of boxes,identical match,0.94475,1,1.0,196,True,True,True,True
adni,nacc,Mini-Mental State Examination (MMSE),Total MMSE score (using D-L-R-O-W),identical match,0.74579,1,1.0,196,True,True,True,True
adni,nacc,Participant diagnosis,"Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia",identical match,0.50179,3,0.3333333333333333,196,False,True,True,True
adni,nacc,Montreal Cognitive Assessment (MoCA),MoCA Total Raw Score ??uncorrected,identical match,0.62362,1,1.0,196,True,True,True,True
adni,nacc,CSF PTAU (Cerebrospinal fluid (CSF) phosphorylated tau (p-tau),Phosphorylated Tau Protein Measurement,identical match,0.68459,1,1.0,196,True,True,True,True
adni,amed,Participant ID,patient id,identical match,0.80494,1,1.0,62,True,True,True,True
adni,amed,Visit code,Visit Number,identical match,0.84685,1,1.0,62,True,True,True,True
adni,amed,Age,Age,identical match,1.0,1,1.0,62,True,True,True,True
adni,amed,Participant Gender ( 1=Male;2=Female),Participant Gender,identical match,0.87179,1,1.0,62,True,True,True,True
adni,amed,Education,Participant Education,identical match,0.70611,1,1.0,62,True,True,True,True
adni,amed,Marital  status (1=Married; 2=Widowed; 3=Divorced; 4=Never married; 5=Unknown),Participant Marital Status,identical match,0.82989,1,1.0,62,True,True,True,True
adni,amed,Height,participant height,identical match,0.84274,1,1.0,62,True,True,True,True
adni,amed,weight,participant weight,identical match,0.82348,1,1.0,62,True,True,True,True
adni,amed,Type of Participant residence (1=House (owned or rented); 2=Condo/Co-op (owned); 3=Apartment (rented); 4=Mobile Home; 5=Retirement Community; 6=Assisted Living; 7=Skilled Nursing Facility; 8=Other (specify),Type of Participant residence,identical match,0.68055,1,1.0,62,True,True,True,True
adni,amed,"If yes, did/does biological mother have Alzheimer's Disease (0=No;1=Yes)?",family history: dimentia mother,identical match,0.58881,1,1.0,62,True,True,True,True
adni,amed,"If yes, did/does biological father have Alzheimer's Disease? (0=No;1=Yes)",family history: dimentia father,identical match,0.60182,1,1.0,62,True,True,True,True
