source_study,target_study,text1,text2,class_label,cosine,rank,mrr,candidate_pool_size,r@1,r@3,r@5,r@10
aachen-hf,aric,History of atrial fibrillation,Atrial fibrillation,identical match,0.72309,1,1.0,26,True,True,True,True
aachen-hf,aric,age at visit,AGE AT VISIT 1 (baseline),identical match,0.84586,1,1.0,26,True,True,True,True
aachen-hf,aric,History of stroke,Stroke status,partial match,0.78645,1,1.0,26,True,True,True,True
aachen-hf,aric,History of stroke,Transient ischemic attack status,partial match,0.46344,2,0.5,26,False,True,True,True
aachen-hf,aric,body mass index,Body mass index (kg/m2),identical match,0.87862,1,1.0,26,True,True,True,True
aachen-hf,aric,History of peripheral artery disease,Intermittent claudication: symptom of peripheral artery disease,partial match,0.6233,1,1.0,26,True,True,True,True
aachen-hf,aric,creatinine,Creatinine (mg/dL),compatible match,0.82796,1,1.0,26,True,True,True,True
aachen-hf,aric,Smoking status,CURRENT CIGARETTE SMOKER,partial match,0.84905,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES with fasting glucose,identical match,0.75006,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES using 126 mg/dL CGM Reading,identical match,0.56898,2,0.5,26,False,True,True,True
aachen-hf,aric,History of diabetes,Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher,identical match,0.54979,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,HDL-cholesterol,RE-CALIBRATED HDL CHOL. in mg/dl,compatible match,0.75119,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,HDL-cholesterol,HDL cholesterol,compatible match,0.98497,1,1.0,26,True,True,True,True
aachen-hf,aric,HDL-cholesterol,HDLC-Cholesterol (mg/dL),compatible match,0.86502,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (to the nearest cm),identical match,0.57519,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (cm),identical match,0.64503,1,1.0,26,True,True,True,True
aachen-hf,aric,History of myocardial infarction,HISTORY OF MYOCARDIAL INFARCTION,identical match,1.0,1,1.0,26,True,True,True,True
aachen-hf,aric,LDL-cholesterol,RE-CALIBRATED LDL CHOL. in mg/dl,compatible match,0.75771,4,0.25,26,False,False,True,True
aachen-hf,aric,LDL-cholesterol,Re-Calibrated LDL Cholesterol in mg/dL,compatible match,0.7468,5,0.2,26,False,False,True,True
aachen-hf,aric,LDL-cholesterol,LDLCC-Cholesterol calculated (mg/dL),compatible match,0.81427,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,sex,"Participant gender(0=Female, 1=Male)",compatible match,0.32271,1,1.0,26,True,True,True,True
aachen-hf,aric,Systolic Blood pressure (sbp) at baseline recumbent position,systolic blood pressure,identical match,0.69427,1,1.0,26,True,True,True,True
aachen-hf,aric,weight,WEIGHT TO THE NEAREST in LB,compatible match,0.71436,2,0.5,26,False,True,True,True
aachen-hf,aric,weight,WEIGHT TO NEAREST in LB,compatible match,0.70493,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,weight,WEIGHT TO NEAREST in lb,compatible match,0.70493,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,weight,Weight (kg),identical match,0.83376,1,1.0,26,True,True,True,True
adni,nacc,first allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,identical match,0.5126,1,1.0,196,True,True,True,True
adni,nacc,second allele of the APOE gene,Combined genotype showing both alleles of the apolipoprotein E (APOE) gene,identical match,0.54099,1,1.0,196,True,True,True,True
adni,nacc,Participant ID,Subject ID number,identical match,0.72374,1,1.0,196,True,True,True,True
adni,nacc,A-beta 1-42 in CSF,Cerebrospinal fluid amyloid-beta 42 (CSF ABETA),identical match,0.76764,1,1.0,196,True,True,True,True
adni,nacc,Visit code,UDS visit number (order),identical match,0.41841,1,1.0,196,True,True,True,True
adni,nacc,Age,Age,identical match,1.0,1,1.0,196,True,True,True,True
adni,nacc,Participant Gender ( 1=Male;2=Female),Subject 's sex,identical match,0.57474,1,1.0,196,True,True,True,True
