source_study,target_study,text1,text2,cosine,rank,mrr,r@1,r@3,r@5,r@10
aachen-hf,aric,History of stroke,Transient ischemic attack status,0.50283,15,0.066666667,FALSE,FALSE,FALSE,FALSE
aachen-hf,aric,History of diabetes,DIABETES using 126 mg/dL CGM Reading,0.3742,15,0.066666667,FALSE,FALSE,FALSE,FALSE
aachen-hf,aric,History of diabetes,Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher,0.40143,14,0.071428571,FALSE,FALSE,FALSE,FALSE
aachen-hf,viennahf-register,History of chronic kidney disease,creatinin kinase,0.26185,38,0.026315789,FALSE,FALSE,FALSE,FALSE
adni,amed,Geriatric Depression Scale (GDS),Total Score,0.33345,36,0.027777778,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Memory-->,0.401,33,0.03030303,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Global CDR,0.43371,29,0.034482759,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Orientation-->,0.42947,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) Community affairs,Score <!--Community Affairs-->,0.47799,13,0.076923077,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Score <!--Home and Hobbies-->,0.47405,13,0.076923077,FALSE,FALSE,FALSE,FALSE
adni,amed,Clinical Dementia Rating (CDR) Sum of Boxes.,Sum of Boxes,0.52026,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,amed,Functional Activities Questionnaire (FAQ) Preparing a balanced meal.,6. Preparing a balanced meal.,0.59739,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","1. Writing checks, paying bills, or balancing checkbook.",0.64275,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","2. Assembling tax records, business affairs, or other papers.",0.66372,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","3. Shopping alone for clothes, household necessities, or groceries.",0.60743,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","4. Playing a game of skill such as bridge or chess, working on a hobby.",0.62526,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","5. Heating water, making a cup of coffee, turing off the stove.",0.63793,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Functional Activities Questionnaire (FAQ) Keeping track of current events.,7. Keeping track of current events.,0.58625,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","8. Paying attention to and understanding a TV program, book, or magazine.",0.6075,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","9. Remembering appointments, family occasions, holidays, medications.",0.63883,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,"Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","10. Traveling out of the neighborhood, driving, or arranging to take public transportation.",0.60126,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Functional Activities Questionnaire (FAQ) Total Score.,Total Score,0.55925,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Abrupt onset (re: cognitive status).,Abrupt Onset of Dementia,0.60673,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History or presence of hypertension.,History of Hypertension,0.46043,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,History of Stroke,0.55842,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological symptoms.,Focal Neurologic Symptoms,0.62996,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,amed,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) Focal neurological signs.,Focal Neurologic Signs,0.64996,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,epad,Parkinson Disease,High Level Group Term,0.15934,339,0.002949853,FALSE,FALSE,FALSE,FALSE
adni,epad,Depression,Medical History Term,0.20513,126,0.007936508,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Memory,0.34747,67,0.014925373,FALSE,FALSE,FALSE,FALSE
adni,epad,Stroke,Medical History Term,0.24129,62,0.016129032,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Orientation,0.41675,25,0.04,FALSE,FALSE,FALSE,FALSE
adni,epad,Participant Gender ( 1=Male;2=Female),What is the sex of the subject?,0.48429,14,0.071428571,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Community affairs,Community Affairs,0.47457,14,0.071428571,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Personal Care,0.51438,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Judgment and problem solving (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Judgement and Problem Solving,0.50265,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,epad,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Home and Hobbies,0.48574,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,nacc,Reference region - florbetapir mean of whole cerebellum. Regions defined by Freesurfer; see Jagust lab PDF on LONI for details,Abnormally elevated amyloid on PET,0.4163,79,0.012658228,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) Memory (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Memory,0.34747,67,0.014925373,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Entorightinal,Left entorhinal mean cortical thickness (mm),0.75059,61,0.016393443,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Superior Temporal,Left superior temporal gray matter volume (cc),0.69473,60,0.016666667,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Superior Frontal,Left superior frontal gray matter volume (cc),0.68922,59,0.016949153,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Inferior Temporal,Left inferior temporal gray matter volume (cc),0.69909,58,0.017241379,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Superior Parietal,Left superior parietal gray matter volume (cc),0.7059,56,0.017857143,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Posterior Cingulate,Left posterior cingulate gray matter volume (cc),0.72703,56,0.017857143,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Inferior Temporal,Right inferior temporal gray matter volume (cc),0.73199,55,0.018181818,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Lateral Occipital,Left lateral occipital gray matter volume (cc),0.71366,55,0.018181818,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Paracentral,Left paracentral gray matter volume (cc),0.71816,55,0.018181818,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Lateral Occipital,Right lateral occipital gray matter volume (cc),0.71898,55,0.018181818,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left MiddleTemporal,Left middle temporal gray matter volume (cc),0.72849,54,0.018518519,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right MiddleTemporal,Right middle temporal gray matter volume (cc),0.73964,54,0.018518519,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Superior Parietal,Right superior parietal gray matter volume (cc),0.73256,54,0.018518519,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Left Inferior Parietal,Left inferior parietal gray matter volume (cc),0.71969,54,0.018518519,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Medial Orbitofrontal,Left medial orbitofrontal gray matter volume (cc),0.73655,53,0.018867925,FALSE,FALSE,FALSE,FALSE
