source_study,target_study,text1,text2,class_label,cosine,rank,mrr,candidate_pool_size,r@1,r@3,r@5,r@10
aachen-hf,aric,History of atrial fibrillation,Atrial fibrillation,identical match,0.71769,1,1.0,26,True,True,True,True
aachen-hf,aric,age at visit,AGE AT VISIT 1 (baseline),identical match,0.76674,1,1.0,26,True,True,True,True
aachen-hf,aric,History of stroke,Stroke status,partial match,0.64929,1,1.0,26,True,True,True,True
aachen-hf,aric,History of stroke,Transient ischemic attack status,partial match,0.50283,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,body mass index,Body mass index (kg/m2),identical match,0.69173,1,1.0,26,True,True,True,True
aachen-hf,aric,History of peripheral artery disease,Intermittent claudication: symptom of peripheral artery disease,partial match,0.53562,1,1.0,26,True,True,True,True
aachen-hf,aric,creatinine,Creatinine (mg/dL),compatible match,0.64761,1,1.0,26,True,True,True,True
aachen-hf,aric,Smoking status,CURRENT CIGARETTE SMOKER,partial match,0.62087,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES with fasting glucose,identical match,0.45092,1,1.0,26,True,True,True,True
aachen-hf,aric,History of diabetes,DIABETES using 126 mg/dL CGM Reading,identical match,0.3742,4,0.25,26,False,False,True,True
aachen-hf,aric,History of diabetes,Diabetes fasting plasma glucose (FPG) of 126 mg/dL or higher,identical match,0.40143,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,HDL-cholesterol,RE-CALIBRATED HDL CHOL. in mg/dl,compatible match,0.50569,3,0.3333333333333333,26,False,True,True,True
aachen-hf,aric,HDL-cholesterol,HDL cholesterol,compatible match,0.86177,1,1.0,26,True,True,True,True
aachen-hf,aric,HDL-cholesterol,HDLC-Cholesterol (mg/dL),compatible match,0.55518,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (to the nearest cm),identical match,0.53273,2,0.5,26,False,True,True,True
aachen-hf,aric,Height,Standing height (cm),identical match,0.56479,1,1.0,26,True,True,True,True
aachen-hf,aric,History of myocardial infarction,HISTORY OF MYOCARDIAL INFARCTION,identical match,0.86199,1,1.0,26,True,True,True,True
aachen-hf,aric,LDL-cholesterol,RE-CALIBRATED LDL CHOL. in mg/dl,compatible match,0.50569,5,0.2,26,False,False,True,True
aachen-hf,aric,LDL-cholesterol,Re-Calibrated LDL Cholesterol in mg/dL,compatible match,0.51489,4,0.25,26,False,False,True,True
